810.8,0,0,1,,,,
809.6,0,0,2,,,,
813.55,0,0,3,,,,
812.25,0,0,4,,,,
813.45,0,0,5,,,,
813,0,0,6,,,,
813.7,0,0,7,,,,
815.05,0,0,8,,,,
815.95,0,0,9,,,,
815.25,0,0,10,,,,
814.7,0,0,11,,,,
818.75,0,0,12,,,,
816.4,0,0,13,,,,
812.2,0,0,14,,,,
805.8,0,0,15,,,,
799.9,0,0,16,,,,
799,0,0,17,,,,
799,0,0,18,,,,
800.3,0,0,19,,,,
800,0,0,20,,,,
797.9,0,0,21,,,,
803.9,0,0,22,,,,
800.7,0,0,23,,,,
799,0,0,24,,,,
802.75,0,0,25,,,,
802.6,0,0,26,,,,
802.1,0,0,27,,,,
793.45,0,0,28,,,,
796.55,0,0,29,,,,
801.1,-0.00571213357605,-1,30,,-1,,-0.005712133576047
800.8,-0.00533764849304,-1,31,-0.940346470282776,-1,FALSE,-0.005337648493036
803.3,-0.00845952661491,-1,32,-0.944918427619907,-1,FALSE,-0.008459526614914
802,-0.00684120220311,-1,33,-0.941929660857949,-1,FALSE,-0.006841202203113
800,-0.00434743661708,-1,34,-0.931962612570835,-1,FALSE,-0.004347436617078
798.95,-0.00303493661708,-1,35,-0.92902118509148,-1,FALSE,-0.003034936617078
800.6,-0.00510014720598,-1,36,-0.926684423221057,-1,FALSE,-0.005100147205976
800.85,-0.00541241300663,-1,37,-0.916071451857433,-1,FALSE,-0.005412413006625
798.35,-0.00229072979504,-1,38,-0.90154308325399,-1,FALSE,-0.002290729795038
796.75,-0.000286596269641,-1,39,-0.901806648628312,-1,FALSE,-0.000286596269641
795.1,0.00178431681476,-1,40,-0.91493571259036,-1,FALSE,0.001784316814764
794,0.00316779059165,-1,41,-0.933068656632271,-1,FALSE,0.003167790591647
794.2,0.00291590142288,-1,42,-0.957133551699039,-1,FALSE,0.002915901422882
793.4,0.00392320436924,-1,43,-1.09746328136211,-1,FALSE,0.003923204369243
794,0.00316696539773,-1,44,-1.31244335093298,-1,FALSE,0.003166965397728
797.2,-0.000863261302524,-1,45,-1.51333657911891,-1,FALSE,-0.000863261302524
794.05,0.00308806835126,-1,46,-1.47826994928974,-1,FALSE,0.003088068351264
793.05,0.0043474348899,-1,47,-1.55750758384313,-1,FALSE,0.004347434889895
794.05,0.00308648034731,-1,48,-1.64859159777952,-1,FALSE,0.003086480347307
791.45,0.00636083334775,-1,49,-1.72442771185586,-1,FALSE,0.006360833347747
782.2,0.0180482425334,-1,50,-1.72127629960017,-1,FALSE,0.018048242533419
782.75,0.0173450975577,-1,51,-1.38786990867172,-1,FALSE,0.01734509755771
788.7,0.00974369225589,-1,52,-1.28829713959166,-1,FALSE,0.009743692255889
795.1,0.00162907326261,-1,53,-1.28375855387022,-1,FALSE,0.001629073262609
793.75,0.00332697289787,-1,54,-1.25505741565759,-1,FALSE,0.003326972897875
786.05,0.0130277602994,-1,55,-1.25135434976586,-1,FALSE,0.01302776029945
784.4,0.0151268634099,-1,56,-1.23215962572963,-1,FALSE,0.015126863409939
783.8,0.0158917792692,-1,57,-1.20459737514431,-1,FALSE,0.015891779269195
783.5,0.0162745299709,-1,58,-1.18088123660467,-1,FALSE,0.016274529970904
783.35,0.0164659785989,-1,59,-1.21405321066365,-1,FALSE,0.016465978598856
785.8,0.0133383855689,-1,60,-1.20759482431173,-1,FALSE,0.01333838556892
783.55,0.0162017095699,-1,61,-1.20842668118974,-1,FALSE,0.016201709569938
801,-0.00606872626696,-1,62,-1.20285236890881,-1,FALSE,-0.006068726266958
793.9,0.00279519383292,-1,63,-1.00271386313094,-1,FALSE,0.002795193832917
794.4,0.00216539159082,-1,64,-0.931296024533281,-1,FALSE,0.002165391590821
791.05,0.00638241072476,-1,65,-0.83387116142353,-1,FALSE,0.006382410724759
788.05,0.0101748385106,-1,66,-0.779497339834789,-1,FALSE,0.010174838510613
791,0.00643142121476,-1,67,-0.746943675804052,-1,FALSE,0.006431421214756
792.15,0.00497756533612,-1,68,-0.656954395387088,-1,FALSE,0.004977565336121
795,0.0013797618898,-1,69,-0.530712161568526,-1,FALSE,0.001379761889804
797,-0.00113596138064,-1,70,-0.335672102483589,-1,FALSE,-0.001135961380636
798,-0.00239066652493,-1,71,-0.117632805874609,-1,FALSE,-0.002390666524927
797.85,-0.00257863644974,1,72,0.081307878832311,1,FALSE,-0.002578636449739
795.5,-0.00552405225471,1,73,0.25850385540795,1,FALSE,-0.005524052254715
792.2,-0.00967238663561,1,74,0.37370264722255,1,FALSE,-0.009672386635607
786.1,-0.0173724623741,1,75,0.449913541258087,1,FALSE,-0.017372462374057
787.75,-0.0152734927773,1,76,0.490151010354355,1,FALSE,-0.015273492777314
788.85,-0.0138771106764,1,77,0.506713357106261,1,FALSE,-0.013877110676393
789.55,-0.0129897429893,1,78,0.531837033422786,1,FALSE,-0.012989742989254
798.55,-0.00159084488274,1,79,0.600506771084744,1,FALSE,-0.001590844882737
791.95,-0.00985582515949,1,80,0.716829108134227,1,FALSE,-0.009855825159489
792.05,-0.0097295545616,1,81,0.648672582015754,1,FALSE,-0.009729554561598
793.6,-0.00777260739917,1,82,0.566019039593212,1,FALSE,-0.007772607399171
790.85,-0.0112378291734,1,83,0.568363485070844,1,FALSE,-0.011237829173364
793.9,-0.00738121919676,1,84,0.658163287975122,1,FALSE,-0.007381219196757
788.75,-0.0138681822903,1,85,0.772283636317293,1,FALSE,-0.013868182290346
780.6,-0.0242009873617,1,86,0.639298544701076,1,FALSE,-0.024200987361661
